Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,32.3671950171821,0.0,-3.5527136788005e-15,0.0,8965.24141428567,32.3671950171821
1,0.0,0.0,0.0,0.0,32.8966484106529,0.0,0.0,0.0,8929.91425748729,32.8966484106529
2,0.0,0.0,0.0,0.0,33.8849591924399,0.0,-3.5527136788005e-15,0.0,8893.52577038201,33.8849591924399
3,0.0,0.0,0.0,0.0,36.9557839347079,0.0,0.0,0.0,8853.83957629405,36.9557839347079
4,0.0,0.0,0.0,0.0,41.9326374570447,0.0,0.0,0.0,8808.80882301114,41.9326374570447
5,0.0,0.0,0.0,0.0,46.6624130154639,0.0,0.0,0.0,8758.69884339831,46.6624130154639
6,0.0,0.0,0.0,0.0,47.933098152921,0.0,0.0,0.0,8707.22429641279,47.933098152921
7,0.0,0.0,0.0,0.0,48.0742858676976,221.458963917526,0.0,0.0,8417.77707800082,48.0742858676976
8,0.0,0.0,0.0,0.0,45.2152426975945,221.458963917526,0.0,0.0,8131.40013790726,45.2152426975945
9,0.000469011,0.0,0.0,0.0,34.0609547458441,0.0,0.0,0.0,8094.82265214068,34.0614237568441
10,0.0,0.0,0.0,0.0,34.273224871134,111.417738256014,3.5527136788005e-15,0.0,7938.36758005396,34.273224871134
11,0.000649149,0.0,0.0,0.0,34.1313609594824,221.458963917526,3.5527136788005e-15,0.0,7663.89343392316,34.1320101084824
12,0.001098501,0.0,0.0,0.0,34.166189276235,221.458963917526,0.0,0.0,7389.38188624944,34.167287777235
13,0.000357846,0.0,0.0,0.0,32.6491976904854,221.458963917526,-3.5527136788005e-15,0.0,7116.49941029582,32.6495555364854
14,0.0,0.0,0.0,0.0,32.1554145189003,0.0,0.0,0.0,7081.96825209254,32.1554145189003
15,0.0,0.0,0.0,0.0,35.9674720790378,0.0,0.0,0.0,7043.34338946471,35.9674720790378
16,0.0,0.0,0.0,0.0,38.1911726804124,221.458963917526,0.0,0.0,6764.50947988788,38.1911726804124
17,0.0,0.0,0.0,0.0,36.744002362543,0.0,0.0,0.0,6725.05071446419,36.744002362543
18,0.0,0.0,0.0,0.0,36.4969243986254,221.458963917526,0.0,0.0,6448.0362295886,36.4969243986254
19,0.0,0.0,0.0,0.0,36.0733634020619,0.0,0.0,0.0,6409.29765205202,36.0733634020619
20,0.0,0.0,0.0,0.0,35.0497551546392,0.0,0.0,0.0,6371.65831017633,35.0497551546392
21,0.0,0.0,0.0,0.0,34.4497089776632,0.0,0.0,0.0,6334.66334778623,34.4497089776632
22,0.0,0.0,0.0,0.0,33.0731325171821,0.0,3.5527136788005e-15,0.0,6299.14666767757,33.0731325171821
23,0.0,0.0,0.0,0.0,34.16733354811,0.0,0.0,0.0,6262.45494350649,34.16733354811
24,0.0,0.0,0.0,0.0,31.4494780927835,0.0,0.0,0.0,6228.68187854431,31.4494780927835
25,0.0,0.0,0.0,0.0,33.8496628006873,0.0,0.0,0.0,6192.33129563979,33.8496628006873
26,0.0,0.0,0.0,0.0,33.8496628006873,0.0,0.0,0.0,6155.98071273527,33.8496628006873
27,0.0,0.0,0.0,0.0,34.3438176546392,0.0,0.0,0.0,6119.09946525392,34.3438176546392
28,0.0,0.0,0.0,0.0,36.1086597938144,0.0,0.0,0.0,6080.32298351657,36.1086597938144
29,0.0,0.0,0.0,0.0,39.2853747852234,0.0,0.0,0.0,6038.13508104103,39.2853747852234
30,0.0,0.0,0.0,0.0,38.6853286082474,221.458963917526,0.0,0.0,5758.77050573415,38.6853286082474
31,0.0,0.0,0.0,0.0,38.8618127147766,221.458963917526,0.0,0.0,5479.21640711698,38.8618127147766
32,0.000653319,0.0,0.0,0.0,35.1549648631551,221.458963917526,0.0,0.0,5203.64302998996,35.1556181821551
33,0.001796919,0.0,0.0,0.0,31.3417160530176,221.458963917526,0.0,0.0,4932.16463655081,31.3435129720176
34,0.00651684,0.0,0.0,0.0,32.1839225356529,221.458963917526,0.0,0.0,4659.78181175143,32.1904393756529
35,0.00473457,0.0,0.0,0.0,33.0329032077964,221.458963917526,0.0,0.0,4386.48728090379,33.0376377777964
36,0.001010181,0.0,0.0,0.0,33.9545007779532,221.458963917526,3.5527136788005e-15,0.0,4112.20306194387,33.9555109589532
37,0.001044864,0.0,0.0,0.0,31.4836860845361,221.458963917526,0.0,0.0,3840.57220927842,31.4847309485361
38,0.0,0.0,0.0,0.0,28.8375118127148,221.458963917526,0.0,0.0,3571.78303860592,28.8375118127148
39,0.0,0.0,0.0,0.0,34.1320371563574,221.458963917526,-3.5527136788005e-15,0.0,3297.30816631867,34.1320371563574
40,0.0,0.0,0.0,0.0,36.849893685567,221.458963917526,0.0,0.0,3019.9146336693,36.849893685567
41,0.0,0.0,0.0,0.0,37.8029080756014,221.458963917526,0.0,0.0,2741.49767491379,37.8029080756014
42,0.0,0.0,0.0,0.0,37.0616741838488,221.458963917526,0.0,0.0,2463.87671475338,37.0616741838488
43,0.0,0.0,0.0,0.0,36.4969243986254,221.458963917526,0.0,0.0,2186.86222987779,36.4969243986254
44,0.0,0.0,0.0,0.0,35.9674720790378,221.458963917526,0.0,0.0,1910.41631493303,35.9674720790378
45,0.0,0.0,0.0,0.0,35.0144576890034,0.0,0.0,0.0,1872.81487841133,35.0144576890034
46,0.0,0.0,0.0,0.0,33.9908494415808,0.0,3.5527136788005e-15,0.0,1836.31267755053,33.9908494415808
47,0.0,0.0,0.0,0.0,33.8143653350516,0.0,-3.5527136788005e-15,0.0,1800.0,33.8143653350516
48,0.0,0.0,0.0,0.0,0.0,0.0,29.844517,0.0,1800.0,29.844517
49,0.0,0.0,0.0,0.0,0.0,0.0,31.619411,0.0,1800.0,31.619411
50,0.0,0.0,0.0,0.0,0.0,0.0,30.863437,0.0,1800.0,30.863437
51,0.0,0.0,0.0,0.0,0.0,0.0,32.638332,0.0,1800.0,32.638332
52,0.0,0.0,0.0,0.0,0.0,0.0,34.051673,0.0,1800.0,34.051673
53,0.0,0.0,0.0,0.0,0.0,0.0,36.746883,0.0,1800.0,36.746883
54,0.0,0.0,0.0,0.0,0.0,0.0,37.43712,0.0,1800.0,37.43712
55,0.0,0.0,0.0,0.0,0.0,0.0,37.930146,0.0,1800.0,37.930146
56,9.95463e-05,0.0,0.0,0.0,0.0,0.0,32.638235440089,0.0,1800.0,32.638334986389
57,0.002275713,0.0,0.0,0.0,0.0,0.0,29.57936155839,0.0,1800.0,29.58163727139
58,0.00710592,0.0,0.0,0.0,0.0,0.0,30.2977812576,0.0,1800.0,30.3048871776
59,0.00589941,0.0,0.0,0.0,0.0,0.0,28.7212685723,0.0,1800.0,28.727167982300003
60,0.001324473,0.0,0.0,0.0,0.0,0.0,28.95578526119,0.0,1800.0,28.957109734190002
61,0.000593799,0.0,0.0,0.0,0.0,0.0,29.18657301497,0.0,1800.0,29.187166813970002
62,0.0,0.0,0.0,0.0,0.0,0.0,28.201096,0.0,1800.0,28.201096
63,0.0,0.0,0.0,0.0,0.0,0.0,32.967016,0.0,1800.0,32.967016
64,0.0,0.0,0.0,0.0,0.0,0.0,36.483936,0.0,1800.0,36.483936
65,0.0,0.0,0.0,0.0,0.0,0.0,36.451067,0.0,1800.0,36.451067
66,0.0,0.0,0.0,0.0,0.0,0.0,35.070594,0.0,1800.0,35.070594
67,0.0,0.0,0.0,0.0,0.0,0.0,35.070594,0.0,1800.0,35.070594
68,0.0,0.0,0.0,0.0,0.0,0.0,34.216015,0.0,1800.0,34.216015
69,0.0,0.0,0.0,0.0,0.0,0.0,33.229963,0.0,1800.0,33.229963
70,0.0,0.0,0.0,0.0,0.0,0.0,33.361437,0.0,1800.0,33.361437
71,0.0,0.0,0.0,0.0,0.0,0.0,32.539726,0.0,1800.0,32.539726
72,0.0,0.0,0.0,0.0,0.0,0.0,32.145305,0.0,1800.0,32.145305
73,0.0,0.0,0.0,0.0,0.0,0.0,34.577568,0.0,1800.0,34.577568
74,0.0,0.0,0.0,0.0,0.0,0.0,34.807647,0.0,1800.0,34.807647
75,0.0,0.0,0.0,0.0,0.0,0.0,38.521777,0.0,1800.0,38.521777
76,0.0,0.0,0.0,0.0,0.0,0.0,43.123355,0.0,1800.0,43.123355
77,0.0,0.0,0.0,0.0,0.0,0.0,46.278722,0.0,1800.0,46.278722
78,0.0,0.0,0.0,0.0,0.0,0.0,55.711956,0.0,1800.0,55.711956
79,0.0,0.0,0.0,0.0,0.0,0.0,68.957925,0.0,1800.0,68.957925
80,0.0002161548,0.0,0.0,0.0,0.0,0.0,66.558321329844,0.0,1800.0,66.558537484644
81,0.001354311,0.0,0.0,0.0,0.0,0.0,66.75442831833,0.0,1800.0,66.75578262933
82,0.000582105,0.0,0.0,0.0,0.0,0.0,66.82091435815,0.0,1800.0,66.82149646315001
83,0.001065576,0.0,0.0,0.0,0.0,0.0,60.57544739128,0.0,1800.0,60.57651296728
84,0.000887832,0.0,0.0,0.0,0.0,0.0,64.78277580296,0.0,1800.0,64.78366363496
85,0.00375795,0.0,0.0,0.0,0.0,0.0,68.9871487885,0.0,1800.0,68.99090673849999
86,0.0,0.0,0.0,0.0,0.0,0.0,68.366294,0.0,1800.0,68.366294
87,0.0,0.0,0.0,0.0,0.0,0.0,76.71487,0.0,1800.0,76.71487
88,0.0,0.0,0.0,0.0,0.0,0.0,84.57042,0.0,1800.0,84.57042
89,0.0,0.0,0.0,0.0,0.0,0.0,77.865265,0.0,1800.0,77.865265
90,0.0,0.0,0.0,0.0,0.0,0.0,73.986792,0.0,1800.0,73.986792
91,0.0,0.0,0.0,0.0,0.0,0.0,68.464899,0.0,1800.0,68.464899
92,0.0,0.0,0.0,0.0,0.0,0.0,66.624268,0.0,1800.0,66.624268
93,0.0,0.0,0.0,0.0,0.0,0.0,61.891217,0.0,1800.0,61.891217
94,0.0,0.0,0.0,0.0,0.0,0.0,49.565563,0.0,1800.0,49.565563
95,0.0,0.0,0.0,0.0,0.0,0.0,51.340457,0.0,1800.0,51.340457
96,0.0,0.0,0.0,0.0,0.0,0.0,44.66817,0.0,1800.0,44.66817
97,0.0,0.0,0.0,0.0,0.0,0.0,42.696065,0.0,1800.0,42.696065
98,0.0,0.0,0.0,0.0,0.0,0.0,40.625355,0.0,1800.0,40.625355
99,0.0,0.0,0.0,0.0,0.0,0.0,42.203039,0.0,1800.0,42.203039
100,0.0,0.0,0.0,0.0,0.0,0.0,46.804617,0.0,1800.0,46.804617
101,0.0,0.0,0.0,0.0,0.0,0.0,49.82851,0.0,1800.0,49.82851
102,0.0,0.0,0.0,0.0,0.0,0.0,57.223903,0.0,1800.0,57.223903
103,0.0,0.0,0.0,0.0,0.0,0.0,97.586311,0.0,1800.0,97.586311
104,0.002842233,0.0,0.0,0.0,0.0,0.0,89.49792503399,0.0,1800.0,89.50076726699
105,0.0052404,0.0,0.0,0.0,0.0,0.0,88.969703812,0.0,1800.0,88.97494421200001
106,0.00827556,0.0,0.0,0.0,0.0,0.0,105.9597287068,0.0,1800.0,105.96800426680001
107,0.01182408,0.0,0.0,0.0,0.0,0.0,94.7152896424,0.0,1800.0,94.72711372239999
108,0.0300048,0.0,0.0,0.0,0.0,0.0,79.611054344,0.0,1800.0,79.641059144
109,0.00319722,0.0,0.0,0.0,0.0,0.0,83.9099506966,0.0,1800.0,83.91314791660001
110,0.0,0.0,0.0,0.0,0.0,0.0,87.922998,0.0,1800.0,87.922998
111,0.0,0.0,0.0,0.0,0.0,0.0,87.26563,0.0,1800.0,87.26563
112,0.0,0.0,0.0,0.0,0.0,0.0,107.183887,0.0,1800.0,107.183887
113,0.0,0.0,0.0,0.0,0.0,0.0,83.781578,0.0,1800.0,83.781578
114,0.0,0.0,0.0,0.0,0.0,0.0,79.245738,0.0,1800.0,79.245738
115,0.0,0.0,0.0,0.0,0.0,0.0,72.935003,0.0,1800.0,72.935003
116,0.0,0.0,0.0,0.0,0.0,0.0,75.630213,0.0,1800.0,75.630213
117,0.0,0.0,0.0,0.0,0.0,0.0,68.070478,0.0,1800.0,68.070478
118,0.0,0.0,0.0,0.0,0.0,0.0,58.144218,0.0,1800.0,58.144218
