Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,32.3671950171821,221.458963917526,-3.5527136788005e-15,0.0,13227.4203619687,32.3671950171821
1,0.0,0.0,0.0,0.0,32.8966484106529,0.0,0.0,0.0,13192.0932051704,32.8966484106529
2,0.0,0.0,0.0,0.0,33.8849591924399,0.0,-3.5527136788005e-15,0.0,13155.7047180651,33.8849591924399
3,0.0,0.0,0.0,0.0,36.9557839347079,0.0,0.0,0.0,13116.0185239771,36.9557839347079
4,0.0,0.0,0.0,0.0,41.9326374570447,0.0,0.0,0.0,13070.9877706942,41.9326374570447
5,0.0,0.0,0.0,0.0,46.6624130154639,0.0,0.0,0.0,13020.8777910814,46.6624130154639
6,0.0,0.0,0.0,0.0,47.933098152921,0.0,0.0,0.0,12969.4032440959,47.933098152921
7,0.0,0.0,0.0,0.0,48.0742858676976,221.458963917526,0.0,0.0,12679.9560256839,48.0742858676976
8,0.0,0.0,0.0,0.0,45.2152426975945,0.0,0.0,0.0,12631.4001379073,45.2152426975945
9,0.000938022,0.0,0.0,0.0,34.0604661927191,221.458963917526,0.0,0.0,12357.0021244727,34.0614042147191
10,0.0,0.0,0.0,0.0,34.273224871134,221.458963917526,3.5527136788005e-15,0.0,12082.375633076,34.273224871134
11,0.001298298,0.0,0.0,0.0,34.1306847626074,221.458963917526,0.0,0.0,11807.9022131016,34.1319830606074
12,0.002197002,0.0,0.0,0.0,34.16504500436,221.458963917526,0.0,0.0,11533.3918942422,34.167242006360006
13,0.000715692,0.0,0.0,0.0,32.6488249342354,221.458963917526,0.0,0.0,11260.5098185852,32.6495406262354
14,0.0,0.0,0.0,0.0,32.1554145189003,221.458963917526,0.0,0.0,10988.157608065,32.1554145189003
15,0.0,0.0,0.0,0.0,35.9674720790378,221.458963917526,0.0,0.0,10711.7116931202,35.9674720790378
16,0.0,0.0,0.0,0.0,38.1911726804124,221.458963917526,0.0,0.0,10432.8777835434,38.1911726804124
17,0.0,0.0,0.0,0.0,36.744002362543,221.458963917526,0.0,0.0,10155.5979658028,36.744002362543
18,0.0,0.0,0.0,0.0,36.4969243986254,221.458963917526,0.0,0.0,9878.5834809272,36.4969243986254
19,0.0,0.0,0.0,0.0,36.0733634020619,221.458963917526,0.0,0.0,9602.02385107369,36.0733634020619
20,0.0,0.0,0.0,0.0,35.0497551546392,221.458963917526,0.0,0.0,9326.56345688108,35.0497551546392
21,0.0,0.0,0.0,0.0,34.4497089776632,221.458963917526,0.0,0.0,9051.74744217404,34.4497089776632
22,0.0,0.0,0.0,0.0,33.0731325171821,221.458963917526,3.5527136788005e-15,0.0,8778.40970974846,33.0731325171821
23,0.0,0.0,0.0,0.0,34.16733354811,221.458963917526,0.0,0.0,8503.89693326044,34.16733354811
24,0.0,0.0,0.0,0.0,31.4494780927835,221.458963917526,0.0,0.0,8232.30281598133,31.4494780927835
25,0.0,0.0,0.0,0.0,33.8496628006873,141.872374493127,0.0,0.0,8043.59787902492,33.8496628006873
26,0.0,0.0,0.0,0.0,33.8496628006873,0.0,0.0,0.0,8007.2472961204,33.8496628006873
27,0.0,0.0,0.0,0.0,34.3438176546392,0.0,0.0,0.0,7970.36604863904,34.3438176546392
28,0.0,0.0,0.0,0.0,36.1086597938144,0.0,0.0,0.0,7931.5895669017,36.1086597938144
29,0.0,0.0,0.0,0.0,39.2853747852234,221.458963917526,0.0,0.0,7651.58061210923,39.2853747852234
