P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
0.0;1.0;2.0;2.0;0;0;0;0;290840;13374;101342;344404;304214.0;650000.0;0.0;650000.0;12000.0;0.0;12000.0;200000.0;0.0;200000.0;0.0;0.0;0.0;0.18188823016135283;0.14853676286595582;0.1801843485878178;0.07015365146145285;0.06072283138537888;0.06903679431863478;26365.30604999998;15745.303889999996;4377.012600000003;11368.291289999997;688.15084;0.0;688.15084;11375.423480000001;16771.127200000003;3850.72425;12920.402949999998;451.06784;0.0;451.06784;152.0;77.27990342574267;0.0;0.0;10620.002159999985;-5395.703720000001;11308.152999999984;-4944.635880000002;0.0;0.3;0.0;0.0;0.0;0.0;0.9560375262150986;0.04396247378490142;positive;negative;positive;negative;Economic Dispatch Optimisation
0.0;1.0;3.0;3.0;0;0;0;0;292551;17574;99750;352349;310125.0;850000.0;0.0;850000.0;18000.0;0.0;18000.0;300000.0;0.0;300000.0;0.0;0.0;0.0;0.23066954490005895;0.18916398563105158;0.22864733026739964;0.08823972820540915;0.07558139701390335;0.08679203324422473;26557.449979999972;15665.396330000003;4198.2432;11467.153129999995;832.5859300000001;0.0;832.5859300000001;11448.63853;16993.558170000008;3782.5965299999993;13210.961639999996;596.04477;0.0;596.04477;103.0;77.73453798344259;0.0;0.0;10892.053649999969;-5544.919640000007;11724.63957999997;-4948.874870000007;0.0;0.3;0.0;0.0;0.0;0.0;0.9433325272067714;0.056667472793228535;positive;negative;positive;negative;Economic Dispatch Optimisation
0.0;2.0;4.0;2.0;0;0;0;0;293169;23141;99176;360613;316310.0;1300000.0;0.0;1300000.0;24000.0;0.0;24000.0;400000.0;0.0;400000.0;0.0;0.0;0.0;0.3229714408294076;0.26675769345470673;0.3206213773488445;0.10553799312337017;0.09040689595106349;0.1036577174829457;26599.99399999998;15601.75349;4158.735550000001;11443.017939999998;986.8645700000001;0.0;986.8645700000001;11473.902570000002;17252.35892000001;3759.1305899999998;13493.228329999998;789.58608;0.0;789.58608;79.0;77.89874847827518;0.0;0.0;10998.240509999981;-5778.456350000008;11985.105079999983;-4988.870270000007;0.0;0.7;0.0;0.0;0.0;0.0;0.9268407574847459;0.07315924251525402;positive;negative;positive;negative;Economic Dispatch Optimisation
0.0;2.0;6.0;3.0;0;0;0;0;293169;26410;99176;370463;319579.0;1700000.0;0.0;1700000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;0.4205850735545768;0.3487516348327084;0.4181110761198313;0.14156450990915811;0.12033311421148069;0.13942260772385567;26599.99399999998;15592.595190000004;4158.735550000001;11433.859639999999;1049.64519;0.0;1049.64519;11473.902570000002;17582.662520000016;3759.1305899999998;13823.531929999997;908.74683;0.0;908.74683;53.0;77.89874847827518;0.0;0.0;11007.398809999977;-6108.759950000014;12057.043999999976;-5200.013120000014;0.0;0.7;0.0;0.0;0.0;0.0;0.9173600267852393;0.08263997321476067;positive;negative;positive;negative;Economic Dispatch Optimisation
0.0;3.0;6.0;2.0;0;0;0;0;293260;26852;99091;371067;320112.0;1950000.0;0.0;1950000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;0.46520877696706836;0.3856941508577033;0.4627391692561981;0.14136707507185448;0.12032020472938354;0.13919193698552929;26602.514059999983;15586.042600000004;4156.363690000002;11429.678909999995;1049.5302700000002;0.0;1049.5302700000002;11477.626040000003;17595.446170000014;3755.64774;13839.798429999999;924.387;0.0;924.387;53.0;77.92292834078289;0.0;0.0;11016.471459999979;-6117.820130000011;12066.001729999978;-5193.43313000001;0.0;1.0;0.0;0.0;0.0;0.0;0.9161168590993153;0.08388314090068476;positive;negative;positive;negative;Economic Dispatch Optimisation
0.0;3.0;9.0;3.0;0;0;0;0;293260;29976;99091;385965;323236.0;2550000.0;0.0;2550000.0;54000.0;0.0;54000.0;900000.0;0.0;900000.0;0.0;0.0;0.0;0.6103758658991922;0.5088014659767454;0.6077296537024125;0.19501147664410665;0.16531839044047753;0.19257419607356221;26602.514059999983;15572.239060000004;4156.363690000002;11415.875369999998;1135.55829;0.0;1135.55829;11477.626040000003;18082.86919000001;3755.64774;14327.221449999997;1045.90031;0.0;1045.90031;35.0;77.92292834078289;0.0;0.0;11030.27499999998;-6605.243150000006;12165.83328999998;-5559.342840000005;0.0;1.0;0.0;0.0;0.0;0.0;0.9072628048855944;0.09273719511440558;positive;negative;positive;negative;Economic Dispatch Optimisation
1.0;0.0;0.0;0.0;0;0;0;0;0;0;371762;0;0.0;330000.0;80000.0;250000.0;3000.0;3000.0;0.0;33000.0;33000.0;0.0;0.0;0.0;0.0;0.0;0.11616902846595496;0.0;0.0;0.03438604150056246;0.0;0.0;28904.080480000048;28904.080480000048;0.0;0.0;0.0;0.0;0.0;14428.087480000091;14428.087480000091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28904.080480000048;-14428.087480000091;-28904.080480000048;-14428.087480000091;0.3;0.3;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Economic Dispatch Optimisation
1.0;1.0;1.0;1.0;0;0;0;0;283048;6399;108426;328869;289447.0;530000.0;80000.0;450000.0;9000.0;3000.0;6000.0;133000.0;33000.0;100000.0;0.0;0.0;0.0;0.15935610347491067;0.1266483693556719;0.15847125248933708;0.05879108956403394;0.050888262971883265;0.05823467512943523;25859.58952999997;16229.592239999989;4837.879359999999;11391.712879999994;340.01982;0.0;340.01982;11069.904849999979;16470.95125000002;4128.885339999999;12342.065910000005;213.81220000000005;0.0;213.81220000000005;289.0;75.2094694844231;0.0;0.0;9629.99728999998;-5401.046400000041;9970.01710999998;-5187.234200000041;0.3;0.3;0.0;0.0;0.0;0.0;0.9778923257107519;0.02210767428924812;positive;negative;positive;negative;Economic Dispatch Optimisation
1.0;1.0;2.0;2.0;0;0;0;0;290682;13378;101319;344228;304060.0;730000.0;80000.0;650000.0;15000.0;3000.0;12000.0;233000.0;33000.0;200000.0;0.0;0.0;0.0;0.20467177027296507;0.16620395178523734;0.20296664674442852;0.07647362870310262;0.06562352537092589;0.07535586358461277;26355.66394999997;15739.01250999999;4376.011770000003;11363.000739999996;688.30382;0.0;688.30382;11369.592779999999;16764.026880000005;3849.8937499999993;12914.13313;451.20602;0.0;451.20602;152.0;77.2379208073227;0.0;0.0;10616.65143999998;-5394.434100000006;11304.95525999998;-4943.228080000006;0.3;0.3;0.0;0.0;0.0;0.0;0.9560021048477274;0.04399789515227258;positive;negative;positive;negative;Economic Dispatch Optimisation
1.0;1.0;3.0;3.0;0;0;0;0;292392;17576;99727;352172;309968.0;930000.0;80000.0;850000.0;21000.0;3000.0;18000.0;333000.0;33000.0;300000.0;0.0;0.0;0.0;0.25304529822721383;0.20684522189446145;0.25102176369311335;0.09444900022048203;0.08048774358369638;0.09300041384745225;26547.68078999996;15659.104909999995;4197.24237;11461.862539999995;832.7075900000001;0.0;832.7075900000001;11442.76673;16986.42250000001;3781.7660299999984;13204.656469999996;596.10985;0.0;596.10985;103.0;77.69228965224781;0.0;0.0;10888.575879999964;-5543.655770000012;11721.283469999966;-4947.545920000011;0.3;0.3;0.0;0.0;0.0;0.0;0.9432973726320136;0.056702627367986376;positive;negative;positive;negative;Economic Dispatch Optimisation
