P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
0.0;1.0;2.0;2.0;0;0;0;0;21954;512;351491;23076;22466.0;650000.0;0.0;650000.0;12000.0;0.0;12000.0;200000.0;0.0;200000.0;0.0;0.0;0.0;2.11523182670827;0.18063193086990875;2.1147627411498298;0.5419906251861931;0.0599908935096096;0.5413097984848321;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;13.99081;0.0;13.99081;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;20.30614;0.0;20.30614;11.0;5.833458258178912;0.0;0.0;-13140.790599999997;-15868.926920000004;-12452.639759999996;-15417.859080000002;0.0;0.3;0.0;0.0;0.0;0.0;0.9772100062316389;0.022789993768361078;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;1.0;3.0;3.0;0;0;0;0;21954;1627;351491;23076;23581.0;850000.0;0.0;850000.0;18000.0;0.0;18000.0;300000.0;0.0;300000.0;0.0;0.0;0.0;2.699197566546228;0.2237287234770545;2.697679832082227;0.7625258870975091;0.07546457798160791;0.7604688457120553;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;47.514160000000004;0.0;47.514160000000004;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;64.39769000000001;0.0;64.39769000000001;7.0;5.833458258178912;0.0;0.0;-13060.883040000004;-16091.357890000008;-12228.297110000003;-15495.313120000008;0.0;0.3;0.0;0.0;0.0;0.0;0.9310037742250117;0.06899622577498833;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;2.0;4.0;2.0;0;0;0;0;21954;2743;351491;23076;24697.0;1300000.0;0.0;1300000.0;24000.0;0.0;24000.0;400000.0;0.0;400000.0;0.0;0.0;0.0;3.8178993930501113;0.30569338154183934;3.8149601246860687;0.963108252089716;0.09094454084469335;0.9598031210022149;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;96.37147;0.0;96.37147;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;108.36721999999999;0.0;108.36721999999999;6.0;5.833458258178912;0.0;0.0;-12997.2402;-16350.15864000001;-12010.37563;-15560.57256000001;0.0;0.7;0.0;0.0;0.0;0.0;0.8889338786087378;0.1110661213912621;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;2.0;6.0;3.0;0;0;0;0;21954;4973;351491;23076;26927.0;1700000.0;0.0;1700000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;4.699692520739622;0.39192475846804015;4.69518584143931;1.314495027975133;0.12192043660515797;1.309038649354602;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;161.10524;0.0;161.10524;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;195.05518999999998;0.0;195.05518999999998;4.0;5.833458258178912;0.0;0.0;-12988.081900000005;-16680.462240000015;-11938.436710000005;-15771.715410000017;0.0;0.7;0.0;0.0;0.0;0.0;0.8153154826011066;0.1846845173988933;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;6.0;2.0;0;0;0;0;21954;4973;351491;23076;26927.0;1950000.0;0.0;1950000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;5.238627563467492;0.43078430644842114;5.23412088416718;1.314495027975133;0.12192043660515797;1.309038649354602;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;161.10524;0.0;161.10524;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;195.05518999999998;0.0;195.05518999999998;4.0;5.833458258178912;0.0;0.0;-12981.529310000005;-16693.245890000013;-11931.999040000006;-15768.858890000014;0.0;1.0;0.0;0.0;0.0;0.0;0.8153154826011066;0.1846845173988933;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;9.0;3.0;0;0;0;0;21954;8318;351491;23076;30272.0;2550000.0;0.0;2550000.0;54000.0;0.0;54000.0;900000.0;0.0;900000.0;0.0;0.0;0.0;6.258174656289147;0.5601722656066034;6.251983109148362;1.7445062200358898;0.16841514862891063;1.7364484497928068;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;248.83149;0.0;248.83149;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;323.83295;0.0;323.83295;3.0;5.833458258178912;0.0;0.0;-12967.725770000005;-17180.668910000008;-11832.167480000004;-16134.768600000009;0.0;1.0;0.0;0.0;0.0;0.0;0.7252246300211417;0.2747753699788584;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;0.0;0.0;0.0;0;0;0;0;0;0;371762;0;0.0;330000.0;80000.0;250000.0;3000.0;3000.0;0.0;33000.0;33000.0;0.0;0.0;0.0;0.0;0.0;0.11616902846595496;0.0;0.0;0.03438604150056246;0.0;0.0;28904.080480000048;28904.080480000048;0.0;0.0;0.0;0.0;0.0;14428.087480000091;14428.087480000091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28904.080480000048;-14428.087480000091;-28904.080480000048;-14428.087480000091;0.3;0.3;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;1.0;1.0;1.0;0;0;0;0;21358;0;351897;23071;21358.0;530000.0;80000.0;450000.0;9000.0;3000.0;6000.0;133000.0;33000.0;100000.0;0.0;0.0;0.0;1.7930093544081567;0.15606551397799634;1.7930093544081567;0.38800684313044587;0.04966749859695591;0.38800684313044587;2589.271999999999;27491.552390000048;26494.964220000045;996.58817;0.0;0.0;0.0;879.5895299999997;14362.314620000077;13609.944570000074;752.37005;0.0;0.0;0.0;21.0;5.6750934443921475;0.0;0.0;-13640.32023999999;-15591.36172000002;-13300.30041999999;-15377.54952000002;0.3;0.3;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;1.0;2.0;2.0;0;0;0;0;21952;512;351344;23071;22464.0;730000.0;80000.0;650000.0;15000.0;3000.0;12000.0;233000.0;33000.0;200000.0;0.0;0.0;0.0;2.4227240646967605;0.199181279787639;2.4222549373750044;0.6273064331282681;0.0651351372773888;0.6266255458119939;2604.2908199999993;27477.57463000006;26480.98646000005;996.58817;13.99081;0.0;13.99081;902.1235599999998;14341.337440000078;13588.967390000078;752.37005;20.30614;0.0;20.30614;11.0;5.832926832629292;0.0;0.0;-13134.721689999991;-15861.903320000005;-12446.41786999999;-15410.697300000005;0.3;0.3;0.0;0.0;0.0;0.0;0.9772079772079773;0.022792022792022793;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;1.0;3.0;3.0;0;0;0;0;21952;1627;351344;23071;23579.0;930000.0;80000.0;850000.0;21000.0;3000.0;18000.0;333000.0;33000.0;300000.0;0.0;0.0;0.0;2.9921986932120377;0.24229529913363304;2.9907299720811324;0.843826000763678;0.0806150071961749;0.8417687848974247;2604.2908199999993;27477.57463000006;26480.98646000005;996.58817;45.97585;0.0;45.97585;902.1235599999998;14341.337440000078;13588.967390000078;752.37005;64.39769;0.0;64.39769;7.0;5.832926832629292;0.0;0.0;-13054.814089999996;-16084.298940000011;-12222.106499999994;-15488.18909000001;0.3;0.3;0.0;0.0;0.0;0.0;0.9309979218796387;0.06900207812036134;negative;negative;negative;negative;Environmental Dispatch Optimisation
